,period,emotional_degree,emotional_response,assignment
0,0,10,Amusement,10
1,0,3,Stress,10
2,0,8,Productivity,10
3,1,4,Amusement,13
4,1,9,Stress,13
5,1,8,Productivity,13
6,2,1,Amusement,24
7,2,10,Stress,24
8,2,9,Productivity,24
9,3,6,Amusement,8
10,3,3,Stress,8
11,3,5,Productivity,8
12,4,7,Amusement,6
13,4,1,Stress,6
14,4,4,Productivity,6
15,5,7,Amusement,12
16,5,4,Stress,12
17,5,8,Productivity,12
18,6,8,Amusement,14
19,6,7,Stress,14
20,6,6,Productivity,14
21,7,6,Amusement,8
22,7,8,Stress,8
23,7,10,Productivity,8
24,8,4,Amusement,10
25,8,8,Stress,10
26,8,6,Productivity,10
